kp,ki,pcgTd (%),settling time (sec)
0.1,0.01,100.0,803.504
0.1,0.01,150.0,637.665
0.1,0.01,200.0,806.146
0.1,0.01,250.0,806.927
0.1,0.02,100.0,1181.504
0.1,0.02,150.0,1185.665
0.1,0.02,200.0,1188.1
0.1,0.02,250.0,1127.787
0.2,0.01,100.0,525.304
0.2,0.01,150.0,525.305
0.2,0.01,200.0,525.306
0.2,0.01,250.0,525.306
0.2,0.02,100.0,458.924
0.2,0.02,150.0,578.245
0.2,0.02,200.0,578.506
0.2,0.02,250.0,578.747
0.2,0.03,100.0,684.924
0.2,0.03,150.0,824.825
0.2,0.03,200.0,696.686
0.2,0.03,250.0,829.987
0.3,0.01,100.0,439.324
0.3,0.01,150.0,439.225
0.3,0.01,200.0,439.125
0.3,0.01,250.0,439.06
0.3,0.02,100.0,446.944
0.3,0.02,150.0,446.925
0.3,0.02,200.0,446.906
0.3,0.02,250.0,446.907
0.3,0.03,100.0,511.844
0.3,0.03,150.0,512.1143
0.3,0.03,200.0,512.386
0.3,0.03,250.0,481.867
0.3,0.04,100.0,733.724
0.3,0.04,150.0,735.865
0.3,0.04,200.0,737.386
0.3,0.04,250.0,738.607
0.4,0.01,100.0,439.384
0.4,0.01,150.0,439.325
0.4,0.01,200.0,439.186
0.4,0.01,250.0,439.08
0.4,0.02,100.0,386.724
0.4,0.02,150.0,386.545
0.4,0.02,200.0,386.366
0.4,0.02,250.0,386.2365
0.4,0.03,100.0,441.564
0.4,0.03,150.0,442.645
0.4,0.03,200.0,443.526
0.4,0.03,250.0,444.08
0.4,0.04,100.0,510.524
0.4,0.04,150.0,511.1343
0.4,0.04,200.0,511.626
0.4,0.04,250.0,512.1555
0.4,0.05,100.0,785.584
0.4,0.05,150.0,820.305
0.4,0.05,200.0,853.02
0.4,0.05,250.0,842.807
0.5,0.01,100.0,437.204
0.5,0.01,150.0,437.02
0.5,0.01,200.0,436.866
0.5,0.01,250.0,436.707
0.5,0.02,100.0,386.364
0.5,0.02,150.0,385.645
0.5,0.02,200.0,380.266
0.5,0.02,250.0,384.2165
0.5,0.03,100.0,392.204
0.5,0.03,150.0,392.465
0.5,0.03,200.0,392.706
0.5,0.03,250.0,392.947
0.5,0.04,100.0,469.184
0.5,0.04,150.0,452.725
0.5,0.04,200.0,453.446
0.5,0.04,250.0,454.1555
0.5,0.05,100.0,580.944
0.5,0.05,150.0,582.305
0.5,0.05,200.0,583.426
0.5,0.05,250.0,612.407
0.5,0.06,100.0,1113.744
0.5,0.06,150.0,1190.06
0.6,0.01,100.0,428.784
0.6,0.01,150.0,428.325
0.6,0.01,200.0,427.546
0.6,0.01,250.0,426.727
0.6,0.02,100.0,399.444
0.6,0.02,150.0,399.645
0.6,0.02,200.0,399.766
0.6,0.02,250.0,399.867
0.6,0.03,100.0,375.284
0.6,0.03,150.0,375.945
0.6,0.03,200.0,376.486
0.6,0.03,250.0,375.607
0.6,0.04,100.0,411.504
0.6,0.04,150.0,433.765
0.6,0.04,200.0,435.1
0.6,0.04,250.0,436.12
0.6,0.05,100.0,500.164
0.6,0.05,150.0,526.245
0.6,0.05,200.0,528.146
0.6,0.05,250.0,529.2765
0.6,0.06,100.0,738.204
0.6,0.06,150.0,761.805
0.6,0.06,200.0,796.206
0.6,0.06,250.0,821.427
0.7,0.01,100.0,406.104
0.7,0.01,150.0,405.905
0.7,0.01,200.0,405.926
0.7,0.01,250.0,405.847
0.7,0.02,100.0,398.944
0.7,0.02,150.0,399.1343
0.7,0.02,200.0,399.266
0.7,0.02,250.0,399.387
0.7,0.03,100.0,397.564
0.7,0.03,150.0,416.785
0.7,0.03,200.0,398.186
0.7,0.03,250.0,398.447
0.7,0.04,100.0,425.644
0.7,0.04,150.0,426.285
0.7,0.04,200.0,426.906
0.7,0.04,250.0,427.487
0.7,0.05,100.0,484.604
0.7,0.05,150.0,485.545
0.7,0.05,200.0,486.286
0.7,0.05,250.0,508.927
0.7,0.06,100.0,626.724
0.7,0.06,150.0,653.04
0.7,0.06,200.0,675.906
0.7,0.06,250.0,681.347
0.8,0.01,100.0,396.063
0.8,0.01,150.0,396.0933
0.8,0.01,200.0,396.186
0.8,0.01,250.0,396.2565
0.8,0.02,100.0,395.504
0.8,0.02,150.0,395.625
0.8,0.02,200.0,395.786
0.8,0.02,250.0,395.887
0.8,0.03,100.0,394.844
0.8,0.03,150.0,395.06
0.8,0.03,200.0,395.266
0.8,0.03,250.0,395.427
0.8,0.04,100.0,442.484
0.8,0.04,150.0,420.285
0.8,0.04,200.0,420.726
0.8,0.04,250.0,442.2365
0.8,0.05,100.0,473.964
0.8,0.05,150.0,496.605
0.8,0.05,200.0,494.306
0.8,0.05,250.0,498.787
0.8,0.06,100.0,578.624
0.8,0.06,150.0,606.645
0.8,0.06,200.0,608.826
0.8,0.06,250.0,648.887
0.8,0.07,100.0,950.804
0.8,0.07,150.0,984.325
0.8,0.07,200.0,1056.626
0.8,0.07,250.0,1094.387
0.9,0.01,100.0,390.084
0.9,0.01,150.0,390.205
0.9,0.01,200.0,390.326
0.9,0.01,250.0,390.427
0.9,0.02,100.0,391.584
0.9,0.02,150.0,391.705
0.9,0.02,200.0,391.826
0.9,0.02,250.0,364.367
0.9,0.03,100.0,391.424
0.9,0.03,150.0,410.925
0.9,0.03,200.0,391.746
0.9,0.03,250.0,391.907
0.9,0.04,100.0,436.964
0.9,0.04,150.0,437.665
0.9,0.04,200.0,438.286
0.9,0.04,250.0,438.767
0.9,0.05,100.0,487.264
0.9,0.05,150.0,488.785
0.9,0.05,200.0,489.926
0.9,0.05,250.0,490.827
0.9,0.06,100.0,567.644
0.9,0.06,150.0,590.525
0.9,0.06,200.0,593.146
0.9,0.06,250.0,594.747
0.9,0.07,100.0,822.924
0.9,0.07,150.0,870.0933
0.9,0.07,200.0,877.566
0.9,0.07,250.0,928.627
1.0,0.01,100.0,385.884
1.0,0.01,150.0,422.785
1.0,0.01,200.0,423.906
1.0,0.01,250.0,386.2965
1.0,0.02,100.0,387.884
1.0,0.02,150.0,388.0
1.0,0.02,200.0,424.546
1.0,0.02,250.0,425.567
1.0,0.03,100.0,426.904
1.0,0.03,150.0,427.925
1.0,0.03,200.0,428.686
1.0,0.03,250.0,429.347
1.0,0.04,100.0,433.164
1.0,0.04,150.0,433.605
1.0,0.04,200.0,455.06
1.0,0.04,250.0,434.427
1.0,0.05,100.0,502.364
1.0,0.05,150.0,482.485
1.0,0.05,200.0,483.245
1.0,0.05,250.0,503.2765
1.0,0.06,100.0,556.644
1.0,0.06,150.0,579.285
1.0,0.06,200.0,581.426
1.0,0.06,250.0,603.767
1.0,0.07,100.0,775.184
1.0,0.07,150.0,799.945
1.0,0.07,200.0,827.726
1.0,0.07,250.0,874.306
1.1,0.01,100.0,399.244
1.1,0.01,150.0,422.265
1.1,0.01,200.0,422.766
1.1,0.01,250.0,423.1765
1.1,0.02,100.0,424.304
1.1,0.02,150.0,424.785
1.1,0.02,200.0,382.866
1.1,0.02,250.0,425.547
1.1,0.03,100.0,426.284
1.1,0.03,150.0,426.765
1.1,0.03,200.0,427.166
1.1,0.03,250.0,427.507
1.1,0.04,100.0,447.764
1.1,0.04,150.0,448.425
1.1,0.04,200.0,449.526
1.1,0.04,250.0,448.02
1.1,0.05,100.0,495.444
1.1,0.05,150.0,497.04
1.1,0.05,200.0,498.146
1.1,0.05,250.0,499.02
1.1,0.06,100.0,569.063
1.1,0.06,150.0,570.605
1.1,0.06,200.0,592.906
1.1,0.06,250.0,594.587
1.1,0.07,100.0,757.324
1.1,0.07,150.0,782.245
1.1,0.07,200.0,807.406
1.1,0.07,250.0,833.12
1.2,0.01,100.0,419.704
1.2,0.01,150.0,420.1143
1.2,0.01,200.0,420.466
1.2,0.01,250.0,420.807
1.2,0.02,100.0,422.244
1.2,0.02,150.0,412.1143
1.2,0.02,200.0,422.906
1.2,0.02,250.0,420.667
1.2,0.03,100.0,423.684
1.2,0.03,150.0,424.04
1.2,0.03,200.0,441.426
1.2,0.03,250.0,424.627
1.2,0.04,100.0,464.624
1.2,0.04,150.0,466.06
1.2,0.04,200.0,467.786
1.2,0.04,250.0,467.727
1.2,0.05,100.0,491.344
1.2,0.05,150.0,512.1143
1.2,0.05,200.0,513.486
1.2,0.05,250.0,514.587
1.2,0.06,100.0,581.944
1.2,0.06,150.0,583.405
1.2,0.06,200.0,604.446
1.2,0.06,250.0,625.2365
1.2,0.07,100.0,743.244
1.2,0.07,150.0,808.1143
1.2,0.07,200.0,852.266
1.2,0.07,250.0,856.627
1.3,0.01,100.0,417.364
1.3,0.01,150.0,417.725
1.3,0.01,200.0,418.04
1.3,0.01,250.0,418.306
1.3,0.02,100.0,415.964
1.3,0.02,150.0,419.925
1.3,0.02,200.0,420.206
1.3,0.02,250.0,420.447
1.3,0.03,100.0,438.244
1.3,0.03,150.0,421.1343
1.3,0.03,200.0,457.526
1.3,0.03,250.0,438.527
1.3,0.04,100.0,462.624
1.3,0.04,150.0,463.265
1.3,0.04,200.0,463.826
1.3,0.04,250.0,482.0
1.3,0.05,100.0,507.404
1.3,0.05,150.0,507.985
1.3,0.05,200.0,528.02
1.3,0.05,250.0,529.427
1.3,0.06,100.0,594.484
1.3,0.06,150.0,616.965
1.3,0.06,200.0,616.926
1.3,0.06,250.0,638.887
1.3,0.07,100.0,751.464
1.3,0.07,150.0,814.02
1.3,0.07,200.0,836.326
1.3,0.07,250.0,863.2765
1.4,0.01,100.0,412.444
1.4,0.01,150.0,415.305
1.4,0.01,200.0,415.566
1.4,0.01,250.0,415.847
1.4,0.02,100.0,416.984
1.4,0.02,150.0,451.945
1.4,0.02,200.0,453.526
1.4,0.02,250.0,454.507
1.4,0.03,100.0,455.984
1.4,0.03,150.0,456.06
1.4,0.03,200.0,457.346
1.4,0.03,250.0,457.967
1.4,0.04,100.0,476.824
1.4,0.04,150.0,478.1543
1.4,0.04,200.0,497.125
1.4,0.04,250.0,499.2165
1.4,0.05,100.0,539.104
1.4,0.05,150.0,540.905
1.4,0.05,200.0,562.826
1.4,0.05,250.0,544.627
1.4,0.06,100.0,607.744
1.4,0.06,150.0,628.265
1.4,0.06,200.0,631.226
1.4,0.06,250.0,652.667
1.4,0.07,100.0,760.624
1.4,0.07,150.0,803.985
1.4,0.07,200.0,847.566
1.4,0.07,250.0,891.867
1.5,0.01,100.0,412.664
1.5,0.01,150.0,429.0933
1.5,0.01,200.0,448.346
1.5,0.01,250.0,449.447
1.5,0.02,100.0,451.304
1.5,0.02,150.0,452.02
1.5,0.02,200.0,452.566
1.5,0.02,250.0,453.14
1.5,0.03,100.0,453.784
1.5,0.03,150.0,454.305
1.5,0.03,200.0,454.766
1.5,0.03,250.0,455.2165
1.5,0.04,100.0,493.704
1.5,0.04,150.0,494.765
1.5,0.04,200.0,495.666
1.5,0.04,250.0,515.587
1.5,0.05,100.0,555.584
1.5,0.05,150.0,555.645
1.5,0.05,200.0,557.866
1.5,0.05,250.0,577.447
1.5,0.06,100.0,621.164
1.5,0.06,150.0,641.465
1.5,0.06,200.0,663.346
1.5,0.06,250.0,684.707
1.5,0.07,100.0,790.084
1.5,0.07,150.0,832.765
1.5,0.07,200.0,915.06
1.5,0.07,250.0,958.08
1.6,0.01,100.0,446.284
1.6,0.01,150.0,447.04
1.6,0.01,200.0,444.566
1.6,0.01,250.0,448.2565
1.6,0.02,100.0,449.364
1.6,0.02,150.0,449.845
1.6,0.02,200.0,465.326
1.6,0.02,250.0,450.707
1.6,0.03,100.0,466.084
1.6,0.03,150.0,486.845
1.6,0.03,200.0,488.266
1.6,0.03,250.0,489.347
1.6,0.04,100.0,506.864
1.6,0.04,150.0,509.785
1.6,0.04,200.0,527.746
1.6,0.04,250.0,530.06
1.6,0.05,100.0,570.424
1.6,0.05,150.0,571.06
1.6,0.05,200.0,572.726
1.6,0.05,250.0,592.507
1.6,0.06,100.0,672.04
1.6,0.06,150.0,693.325
1.6,0.06,200.0,695.08
1.6,0.06,250.0,716.547
1.6,0.07,100.0,837.844
1.6,0.07,150.0,899.1143
1.6,0.07,200.0,943.306
1.6,0.07,250.0,1024.467
1.7,0.01,100.0,425.284
1.7,0.01,150.0,445.265
1.7,0.01,200.0,445.746
1.7,0.01,250.0,446.1765
1.7,0.02,100.0,446.984
1.7,0.02,150.0,463.385
1.7,0.02,200.0,482.446
1.7,0.02,250.0,483.707
1.7,0.03,100.0,484.624
1.7,0.03,150.0,501.425
1.7,0.03,200.0,486.245
1.7,0.03,250.0,486.867
1.7,0.04,100.0,523.684
1.7,0.04,150.0,525.1543
1.7,0.04,200.0,544.02
1.7,0.04,250.0,544.707
1.7,0.05,100.0,582.764
1.7,0.05,150.0,585.405
1.7,0.05,200.0,605.286
1.7,0.05,250.0,624.967
1.7,0.06,100.0,683.184
1.7,0.06,150.0,705.06
1.7,0.06,200.0,726.406
1.7,0.06,250.0,766.306
1.7,0.07,100.0,884.724
1.7,0.07,150.0,946.485
1.7,0.07,200.0,1028.226
1.7,0.07,250.0,1146.387
1.8,0.01,100.0,442.684
1.8,0.01,150.0,443.1343
1.8,0.01,200.0,443.526
1.8,0.01,250.0,478.1965
1.8,0.02,100.0,479.484
1.8,0.02,150.0,480.405
1.8,0.02,200.0,479.486
1.8,0.02,250.0,481.827
1.8,0.03,100.0,482.224
1.8,0.03,150.0,498.205
1.8,0.03,200.0,518.306
1.8,0.03,250.0,519.807
1.8,0.04,100.0,537.604
1.8,0.04,150.0,556.225
1.8,0.04,200.0,558.706
1.8,0.04,250.0,560.1555
1.8,0.05,100.0,597.864
1.8,0.05,150.0,617.285
1.8,0.05,200.0,637.226
1.8,0.05,250.0,657.1515
1.8,0.06,100.0,714.544
1.8,0.06,150.0,752.365
1.8,0.06,200.0,775.486
1.8,0.06,250.0,852.587
1.8,0.07,100.0,987.164
1.8,0.07,150.0,1029.405
1.8,0.07,200.0,1146.806
1.9,0.01,100.0,474.184
1.9,0.01,150.0,475.325
1.9,0.01,200.0,454.406
1.9,0.01,250.0,476.967
1.9,0.02,100.0,477.564
1.9,0.02,150.0,478.225
1.9,0.02,200.0,478.766
1.9,0.02,250.0,513.427
