kp,ki,Max power rate of G15.02 (max=341.165MW/min),Max power rate of G16.01 (max=686.878MW/min),Max power rate of G17.02 (max=95.200MW/min),Max power rate of G23.01 (max=485.898MW/min),Max power rate of G26.01 (max=356.785MW/min),Exceed max power rate or not?
0.1,0.01,81.6408,154.7483,22.772,109.7246,80.3981,Not Exceed
0.1,0.01,82.1856,156.2305,23.0714,110.4857,80.9473,Not Exceed
0.1,0.01,82.7158,157.946,23.3704,111.6338,81.8337,Not Exceed
0.1,0.02,115.8815,223.8894,32.2923,158.805,116.3638,Not Exceed
0.1,0.02,116.7606,227.0984,32.732,160.3568,117.5045,Not Exceed
0.1,0.02,117.6439,230.5947,33.361,162.8948,119.4024,Not Exceed
0.1,0.03,142.0192,279.4846,39.6019,198.0945,145.3048,Not Exceed
0.1,0.03,149.4926,309.0556,42.1076,218.0608,159.5645,Not Exceed
0.1,0.03,149.2395,309.9739,42.8127,218.9479,160.376,Not Exceed
0.1,0.04,165.0431,327.9034,46.0048,232.2241,170.5229,Not Exceed
0.1,0.04,167.6002,334.22,47.0598,235.2815,172.8391,Not Exceed
0.1,0.04,169.5874,341.1015,48.2536,240.4676,176.6908,Not Exceed
0.1,0.05,185.6803,371.5543,51.75,262.9567,193.2599,Not Exceed
0.1,0.05,188.9783,379.338,53.0543,266.7961,196.1846,Not Exceed
0.1,0.05,191.5554,387.8227,54.5308,273.1703,200.9188,Not Exceed
0.1,0.06,204.8092,411.901,57.0694,291.1576,214.3008,Not Exceed
0.1,0.06,208.7223,421.1423,58.5897,295.639,217.7482,Not Exceed
0.1,0.06,211.9675,431.2438,60.3141,303.3918,223.4835,Not Exceed
0.1,0.07,222.6757,449.4316,62.0262,317.5784,233.8542,Not Exceed
0.1,0.07,227.0716,460.0775,63.7268,322.902,237.9518,Not Exceed
0.1,0.07,231.0198,471.7166,65.7412,331.6695,244.4496,Not Exceed
0.1,0.08,239.5776,484.8183,66.7281,342.4004,252.3032,Not Exceed
0.1,0.08,244.5932,496.8552,68.6452,348.4906,257.0028,Not Exceed
0.1,0.08,249.2846,510.0302,71.0606,358.3574,264.3835,Not Exceed
0.2,0.01,74.9192,143.8797,20.9039,102.1973,74.7579,Not Exceed
0.2,0.01,75.4707,145.4969,21.1816,102.9405,75.2905,Not Exceed
0.2,0.01,75.7966,147.3055,21.5008,104.1805,76.2427,Not Exceed
0.2,0.02,105.4086,206.4084,29.3989,146.4896,107.2972,Not Exceed
0.2,0.02,106.625,209.5877,29.9417,147.996,108.3876,Not Exceed
0.2,0.02,107.3914,213.051,30.5562,150.4794,110.3148,Not Exceed
0.2,0.03,130.7244,259.1405,36.4421,183.6757,134.7411,Not Exceed
0.2,0.03,132.5587,263.7997,37.2284,185.9192,136.4264,Not Exceed
0.2,0.03,133.8907,268.8629,38.1241,189.7086,139.2461,Not Exceed
0.2,0.04,153.0698,305.8928,42.6625,216.5621,159.1012,Not Exceed
0.2,0.04,154.2807,310.0116,44.7639,218.8019,161.0289,Not Exceed
0.2,0.04,158.8899,340.506,45.8479,240.1283,176.1119,Not Exceed
0.2,0.05,194.8156,407.0374,54.264,288.8407,211.8483,Not Exceed
0.2,0.05,176.4697,355.9631,49.5396,250.2505,184.0603,Not Exceed
0.2,0.05,179.0374,364.2709,50.9834,256.3677,188.814,Not Exceed
0.2,0.06,192.2553,387.9665,53.5588,274.0597,201.8838,Not Exceed
0.2,0.06,196.0244,396.9937,55.0224,278.6393,205.2,Not Exceed
0.2,0.06,199.2358,406.8568,56.6789,286.0408,210.9144,Not Exceed
0.2,0.07,209.9373,425.0405,58.4816,300.0404,221.2258,Not Exceed
0.2,0.07,214.3495,435.4594,60.1544,305.3263,225.0805,Not Exceed
0.2,0.07,218.2424,446.8798,62.0591,313.8752,231.693,Not Exceed
0.2,0.08,226.7098,459.9208,63.1451,324.7135,239.4097,Not Exceed
0.2,0.08,231.6901,471.7443,65.0105,330.6794,243.9787,Not Exceed
0.2,0.08,236.3152,484.7043,67.1432,340.2774,251.3511,Not Exceed
0.3,0.01,74.9177,149.0616,20.8897,105.7432,77.5105,Not Exceed
0.3,0.01,75.5868,150.9715,21.2405,106.4943,78.0542,Not Exceed
0.3,0.01,75.8254,153.1023,21.6447,108.1377,79.2987,Not Exceed
0.3,0.02,101.3387,201.7869,28.2568,143.0906,104.9182,Not Exceed
0.3,0.02,102.6157,205.0742,28.8232,144.6086,106.0446,Not Exceed
0.3,0.02,103.3313,208.6893,29.4766,147.2819,108.1244,Not Exceed
0.3,0.03,124.7583,249.9281,34.766,176.9625,129.9889,Not Exceed
0.3,0.03,126.6245,254.6236,35.5582,179.1721,131.6341,Not Exceed
0.3,0.03,127.9232,259.7393,36.4706,183.1089,134.589,Not Exceed
0.3,0.04,145.9625,293.8216,40.6711,207.798,152.8717,Not Exceed
0.3,0.04,148.4402,299.9245,41.6736,210.7788,155.0452,Not Exceed
0.3,0.04,150.3495,306.608,42.8304,215.8523,158.9213,Not Exceed
0.3,0.05,165.5126,334.3465,46.1132,236.4104,173.9809,Not Exceed
0.3,0.05,172.1845,371.0941,48.5355,260.6343,191.2327,Not Exceed
0.3,0.05,180.0717,391.6996,51.9851,275.7344,202.7593,Not Exceed
0.3,0.06,199.5141,421.2442,55.5403,298.2772,219.3664,Not Exceed
0.3,0.06,187.4699,381.4047,52.6007,267.5208,197.264,Not Exceed
0.3,0.06,190.6484,391.0844,54.2782,274.8928,202.7206,Not Exceed
0.3,0.07,200.9508,408.5916,55.9712,288.1738,212.6551,Not Exceed
0.3,0.07,205.4128,418.8913,57.6307,293.2497,216.558,Not Exceed
0.3,0.07,209.2465,430.1134,59.5252,301.9711,223.0324,Not Exceed
0.3,0.08,217.474,442.5189,60.5536,312.1898,230.3447,Not Exceed
0.3,0.08,222.4021,454.1113,62.4013,318.1079,234.9127,Not Exceed
0.3,0.08,227.0269,466.8936,64.4831,327.6346,242.1938,Not Exceed
0.4,0.01,80.9963,165.259,22.5631,116.663,85.9339,Not Exceed
0.4,0.01,81.856,167.5203,22.9501,117.5377,86.6598,Not Exceed
0.4,0.01,82.1067,169.9151,23.4458,119.5866,88.2748,Not Exceed
0.4,0.02,102.5116,207.8031,28.5534,146.9032,108.1587,Not Exceed
0.4,0.02,103.9332,211.2379,29.1798,148.3896,109.1928,Not Exceed
0.4,0.02,104.6686,215.1143,29.8739,151.4446,111.5666,Not Exceed
0.4,0.03,123.3934,249.9793,34.366,176.6759,130.0544,Not Exceed
0.4,0.03,125.3689,254.7994,35.1921,178.873,131.7,Not Exceed
0.4,0.03,126.6896,260.0581,36.1125,183.0806,134.8658,Not Exceed
0.4,0.04,142.9683,290.1489,39.8171,204.9299,150.9778,Not Exceed
0.4,0.04,145.5666,296.3178,40.8539,207.788,153.1635,Not Exceed
0.4,0.04,147.4696,303.0458,42.0142,213.1624,157.1656,Not Exceed
0.4,0.05,161.3775,328.1279,44.9408,231.6734,170.7615,Not Exceed
0.4,0.05,164.5362,335.6225,46.1682,235.242,173.5195,Not Exceed
0.4,0.05,167.0747,343.803,47.5824,241.6806,178.2909,Not Exceed
0.4,0.06,178.8702,364.1637,49.8129,256.9207,189.6156,Not Exceed
0.4,0.06,182.6191,391.0379,51.2328,273.3897,201.5971,Not Exceed
0.4,0.06,188.9118,408.4254,54.405,286.9844,211.646,Not Exceed
0.4,0.07,215.9415,458.2963,60.0784,323.6036,238.806,Not Exceed
0.4,0.07,199.7979,408.959,56.0423,285.9122,211.4179,Not Exceed
0.4,0.07,203.6464,420.1908,57.9281,294.7607,217.9414,Not Exceed
0.4,0.08,211.3705,431.7026,58.8676,304.3081,224.8176,Not Exceed
0.4,0.08,216.2114,443.1414,60.6325,309.9122,229.1824,Not Exceed
0.4,0.08,220.9062,455.7996,62.7332,319.6316,236.3664,Not Exceed
0.5,0.01,90.3615,186.3259,25.1719,131.1736,97.1112,Not Exceed
0.5,0.01,91.4728,188.8659,25.5476,131.8989,97.6916,Not Exceed
0.5,0.01,91.6011,191.4932,26.1392,134.2959,99.662,Not Exceed
0.5,0.02,107.7662,220.9506,29.9838,155.6858,115.1653,Not Exceed
0.5,0.02,109.3386,224.6997,30.6602,157.1565,116.0802,Not Exceed
0.5,0.02,110.1224,228.7767,31.3952,160.8017,118.8913,Not Exceed
0.5,0.03,125.7813,257.2504,35.0282,181.3148,133.8105,Not Exceed
0.5,0.03,127.9272,262.3295,35.8558,183.7235,135.6967,Not Exceed
0.5,0.03,129.2682,267.75,36.8509,188.1316,139.039,Not Exceed
0.5,0.04,143.51,293.2536,39.9678,206.7554,152.5745,Not Exceed
0.5,0.04,146.2028,299.6726,40.9822,209.8053,154.9489,Not Exceed
0.5,0.04,148.1821,306.5467,42.1867,215.1916,159.1065,Not Exceed
0.5,0.05,160.5724,328.1349,44.7164,231.3659,170.7543,Not Exceed
0.5,0.05,163.8295,335.8822,45.925,235.1038,173.6377,Not Exceed
0.5,0.05,166.4562,344.2059,47.3492,241.4489,178.6519,Not Exceed
0.5,0.06,176.9489,361.8994,49.2745,255.0082,188.3505,Not Exceed
0.5,0.06,180.811,370.9636,50.6849,259.4693,191.7668,Not Exceed
0.5,0.06,184.0869,408.493,52.9143,286.4724,211.7956,Not Exceed
0.5,0.07,203.9057,443.2836,56.6918,312.7131,231.0569,Not Exceed
0.5,0.07,197.1504,420.8959,55.2631,293.3467,217.2319,Not Exceed
0.5,0.07,225.9481,488.9426,64.7511,342.4753,253.761,Not Exceed
0.5,0.08,239.9152,511.6334,66.7232,359.941,266.6934,Not Exceed
0.5,0.08,212.8509,437.7629,59.6605,305.4592,226.3526,Not Exceed
0.5,0.08,217.447,450.3978,61.8011,315.4455,233.6979,Not Exceed
0.6,0.01,101.0634,209.3237,28.1466,146.8751,109.4619,Not Exceed
0.6,0.01,102.5302,212.2114,28.6605,147.3839,109.2757,Not Exceed
0.6,0.01,102.449,215.1753,29.1808,150.8536,112.3371,Not Exceed
0.6,0.02,115.593,238.4078,32.2005,167.7349,124.2134,Not Exceed
